Up,UpScreeningResult,Down,DownScreeningResult,Name
iDiTP,ND,mHiTP,ND,w-1-OH
iDiTP,ND,121CMP,ND,w-COOH
iDTP,ND,miDP,ND,mono
iDTP,ND,mHiDP,ND,w-1-OH
iDTP,ND,mCiNP,Level 3,w-COOH
iDTP,ND,mCPP,Level 2,w-ab
iDTP,ND,mTP,ND,mono
iDTP,ND,mHTP,Level 4,w-1-OH
iDTP,ND,mOTP,Level 2,w-1-oxo
iDTP,ND,122CMP,ND,w-COOH
DeiTP,ND,mDP,ND,mono
DeiTP,ND,m9PHHP,ND,w-1-OH
DeiTP,ND,m9POHP,ND,w-1-oxo
DeiTP,ND,mPHHP,ND,mOH
DeiTP,ND,m1POHP,ND,moxo
DeiTP,ND,mCNP,Level 3,w-COOH
DeiTP,ND,mCPP,Level 2,w-ab
DeiTP,ND,miTP,ND,mono
DeiTP,ND,mHiTP,ND,w-1-OH
DeiTP,ND,121CMP,ND,w-COOH
iTiUP,Level 4,miTP,ND,mono
iTiUP,Level 4,mHiTP,ND,w-1-OH
iTiUP,Level 4,121CMP,ND,w-COOH
iTiUP,Level 4,mCPP,Level 2,w-ab
iTiUP,Level 4,miUP,ND,mono
iTiUP,Level 4,mHiUP,ND,w-1-OH
iTiUP,Level 4,109CMP,ND,w-COOH
iTUP,Level 4,miTP,ND,mono
iTUP,Level 4,mHiTP,ND,w-1-OH
iTUP,Level 4,121CMP,ND,w-COOH
iTUP,Level 4,mCPP,Level 2,w-ab
iTUP,Level 4,mUP,ND,mono
iTUP,Level 4,mHUP,Level 4,w-1-OH
iTUP,Level 4,mOUP,ND,w-1-oxo
iTUP,Level 4,mCDP,Level 2,w-COOH
DDdP,Level 3,mDdP,ND,mono
DDdP,Level 3,mHDdP,ND,w-1-OH
DDdP,Level 3,mODdP,ND,w-1-oxo
DDdP,Level 3,120CMP,ND,w-COOH
DDdP,Level 3,mCPP,Level 2,w-ab
DiTP,ND,miTP,ND,mono
DiTP,ND,mHiTP,ND,w-1-OH
DiTP,ND,121CMP,ND,w-COOH
DiTP,ND,mCPP,Level 2,w-ab
DTP,ND,mTP,ND,mono
DTP,ND,mHTP,Level 4,w-1-OH
DTP,ND,mOTP,Level 2,w-1-oxo
DTP,ND,122CMP,ND,w-COOH
DTP,ND,mCPP,Level 2,w-ab
DOcP,ND,mOcP,ND,mono
DOcP,ND,mHOcP,ND,w-1-OH
DOcP,ND,mOOcP,ND,w-1-oxo
DOcP,ND,123CMP,ND,w-COOH
DOcP,ND,mCPP,Level 2,w-ab
DEEP,ND,mDeGP,Level 2,w-OH
