Source,Target,Mechanism,CooccurrenceFrequency,CooccurrenceProbability,RelationType
NUP,mOUP,w-1-oxo,0,0.0,v_shape
NUP,mCDP,w-COOH,0,0.0,v_shape
DDP,mDP,mono,0,0.0,v_shape
DDP,m9PHHP,w-1-OH,0,0.0,v_shape
DDP,m9POHP,w-1-oxo,0,0.0,v_shape
DDP,mPHHP,mOH,0,0.0,v_shape
DDP,m1POHP,moxo,0,0.0,v_shape
DDP,mCNP,w-COOH,0,0.0,v_shape
DDP,mCPP,w-ab,4,0.154400576,v_shape
DeiUP,mDP,mono,0,0.0,v_shape
DeiUP,m9PHHP,w-1-OH,0,0.0,v_shape
DeiUP,m9POHP,w-1-oxo,0,0.0,v_shape
DeiUP,mPHHP,mOH,0,0.0,v_shape
DeiUP,m1POHP,moxo,0,0.0,v_shape
DeiUP,mCNP,w-COOH,0,0.0,v_shape
DeiUP,mCPP,w-ab,0,0.0,v_shape
DeiUP,miUP,mono,0,0.0,v_shape
DeiUP,mHiUP,w-1-OH,0,0.0,v_shape
DeiUP,109CMP,w-COOH,0,0.0,v_shape
iDUP,miDP,mono,0,0.0,v_shape
iDUP,mHiDP,w-1-OH,0,0.0,v_shape
iDUP,mCiNP,w-COOH,0,0.0,v_shape
iDUP,mCPP,w-ab,0,0.0,v_shape
iDUP,mUP,mono,0,0.0,v_shape
iDUP,mHUP,w-1-OH,0,0.0,v_shape
iDUP,mOUP,w-1-oxo,0,0.0,v_shape
iDUP,mCDP,w-COOH,0,0.0,v_shape
NTP,mNP,mono,0,0.0,v_shape
NTP,mHNP,w-1-OH,0,0.0,v_shape
NTP,mONP,w-1-oxo,0,0.0,v_shape
NTP,m8COP,w-COOH,0,0.0,v_shape
NTP,mCPP,w-ab,0,0.0,v_shape
NTP,mTDP,mono,0,0.0,paternal
NTP,mHTDP,w-1-OH,0,0.0,paternal
NTP,mOTDP,w-1-oxo,0,0.0,paternal
NTP,107CMP,w-COOH,0,0.0,paternal
iNiTP,miNP,mono,0,0.0,v_shape
iNiTP,mHiNP,w-1-OH,0,0.0,v_shape
iNiTP,mCiOP,w-COOH,0,0.0,v_shape
iNiTP,mCPP,w-ab,0,0.0,v_shape
iNiTP,miTP,mono,0,0.0,v_shape
iNiTP,mHiTP,w-1-OH,0,0.0,v_shape
iNiTP,121CMP,w-COOH,0,0.0,v_shape
DiUP,miUP,mono,0,0.0,v_shape
DiUP,mHiUP,w-1-OH,0,0.0,v_shape
DiUP,109CMP,w-COOH,0,0.0,v_shape
DiUP,mCPP,w-ab,1,0.188229442,v_shape
DeUP,mDP,mono,0,0.0,v_shape
DeUP,m9PHHP,w-1-OH,0,0.0,v_shape
DeUP,m9POHP,w-1-oxo,0,0.0,v_shape
DeUP,mPHHP,mOH,0,0.0,v_shape
DeUP,m1POHP,moxo,0,0.0,v_shape
DeUP,mCNP,w-COOH,0,0.0,v_shape
DeUP,mCPP,w-ab,0,0.0,v_shape
DeUP,mUP,mono,0,0.0,v_shape
DeUP,mHUP,w-1-OH,0,0.0,v_shape
DeUP,mOUP,w-1-oxo,0,0.0,v_shape
DeUP,mCDP,w-COOH,0,0.0,v_shape
BTNP,mTNP,mono,0,0.0,paternal
BTNP,mHTNP,w-1-OH,0,0.0,paternal
BTNP,111CMP,w-COOH,0,0.0,paternal
BTNP,mCPP,w-ab,0,0.0,v_shape
iUUP,miUP,mono,0,0.0,v_shape
iUUP,mHiUP,w-1-OH,0,0.0,v_shape
iUUP,109CMP,w-COOH,0,0.0,v_shape
iUUP,mCPP,w-ab,0,0.0,v_shape
iUUP,mUP,mono,0,0.0,v_shape
iUUP,mHUP,w-1-OH,0,0.0,v_shape
iUUP,mOUP,w-1-oxo,0,0.0,v_shape
iUUP,mCDP,w-ab,0,0.0,v_shape
iTNP,miTP,mono,0,0.0,v_shape
iTNP,mHiTP,w-1-OH,0,0.0,v_shape
iTNP,121CMP,w-COOH,0,0.0,v_shape
iTNP,mCPP,w-ab,0,0.0,v_shape
iTNP,mNP,mono,0,0.0,v_shape
iTNP,mHNP,w-1-OH,0,0.0,v_shape
iTNP,mONP,w-1-oxo,0,0.0,v_shape
iTNP,m8COP,w-COOH,0,0.0,v_shape
DUP,mUP,mono,1,0.151724338,v_shape
DUP,mHUP,w-1-OH,1,0.151724338,v_shape
DUP,mOUP,w-1-oxo,1,0.151724338,v_shape
DUP,mCDP,w-COOH,1,0.151724338,v_shape
DUP,mCPP,w-ab,1,0.151724338,v_shape
iDiTP,miDP,mono,0,0.0,v_shape
iDiTP,mHiDP,w-1-OH,0,0.0,v_shape
iDiTP,mCiNP,w-COOH,0,0.0,v_shape
iDiTP,mCPP,w-ab,0,0.0,v_shape
iDiTP,miTP,mono,0,0.0,v_shape
iDiTP,mHiTP,w-1-OH,0,0.0,v_shape
iDiTP,121CMP,w-COOH,0,0.0,v_shape
iDTP,miDP,mono,0,0.0,v_shape
iDTP,mHiDP,w-1-OH,0,0.0,v_shape
iDTP,mCiNP,w-COOH,0,0.0,v_shape
iDTP,mCPP,w-ab,0,0.0,v_shape
iDTP,mTP,mono,0,0.0,v_shape
iDTP,mHTP,w-1-OH,0,0.0,v_shape
iDTP,mOTP,w-1-oxo,0,0.0,v_shape
iDTP,122CMP,w-COOH,0,0.0,v_shape
DeiTP,mDP,mono,0,0.0,v_shape
DeiTP,m9PHHP,w-1-OH,0,0.0,v_shape
DeiTP,m9POHP,w-1-oxo,0,0.0,v_shape
DeiTP,mPHHP,mOH,0,0.0,v_shape
DeiTP,m1POHP,moxo,0,0.0,v_shape
DeiTP,mCNP,w-COOH,0,0.0,v_shape
DeiTP,mCPP,w-ab,0,0.0,v_shape
DeiTP,miTP,mono,0,0.0,v_shape
DeiTP,mHiTP,w-1-OH,0,0.0,v_shape
DeiTP,121CMP,w-COOH,0,0.0,v_shape
iTiUP,miTP,mono,0,0.0,v_shape
iTiUP,mHiTP,w-1-OH,0,0.0,v_shape
iTiUP,121CMP,w-COOH,0,0.0,v_shape
iTiUP,mCPP,w-ab,0,0.0,v_shape
iTiUP,miUP,mono,0,0.0,v_shape
iTiUP,mHiUP,w-1-OH,0,0.0,v_shape
iTiUP,109CMP,w-COOH,0,0.0,v_shape
iTUP,miTP,mono,0,0.0,v_shape
iTUP,mHiTP,w-1-OH,0,0.0,v_shape
iTUP,121CMP,w-COOH,0,0.0,v_shape
iTUP,mCPP,w-ab,0,0.0,v_shape
iTUP,mUP,mono,0,0.0,v_shape
iTUP,mHUP,w-1-OH,0,0.0,v_shape
iTUP,mOUP,w-1-oxo,0,0.0,v_shape
iTUP,mCDP,w-COOH,0,0.0,v_shape
DDdP,mDdP,mono,0,0.0,paternal
DDdP,mHDdP,w-1-OH,0,0.0,paternal
DDdP,mODdP,w-1-oxo,0,0.0,paternal
DDdP,120CMP,w-COOH,0,0.0,paternal
DDdP,mCPP,w-ab,0,0.0,v_shape
DiTP,miTP,mono,0,0.0,v_shape
DiTP,mHiTP,w-1-OH,0,0.0,v_shape
DiTP,121CMP,w-COOH,0,0.0,v_shape
DiTP,mCPP,w-ab,0,0.0,v_shape
DTP,mTP,mono,0,0.0,v_shape
DTP,mHTP,w-1-OH,0,0.0,v_shape
DTP,mOTP,w-1-oxo,0,0.0,v_shape
DTP,122CMP,w-COOH,0,0.0,v_shape
DTP,mCPP,w-ab,2,0.179036529,v_shape
DOcP,mOcP,mono,0,0.0,paternal
DOcP,mHOcP,w-1-OH,0,0.0,paternal
DOcP,mOOcP,w-1-oxo,0,0.0,paternal
DOcP,123CMP,w-COOH,0,0.0,paternal
DOcP,mCPP,w-ab,0,0.0,v_shape
