,Up,Down,Name,Number,CooccurrenceProbability
633,iTiUP,mCPP,w-ab,0,0
634,iTiUP,miUP,mono,0,0
635,iTiUP,mHiUP,w-1-OH,0,0
636,iTiUP,109CMP,w-COOH,0,0
637,iTUP,miTP,mono,0,0
638,iTUP,mHiTP,w-1-OH,0,0
639,iTUP,121CMP,w-COOH,0,0
640,iTUP,mCPP,w-ab,0,0
641,iTUP,mUP,mono,0,0
642,iTUP,mHUP,w-1-OH,0,0
643,iTUP,mOUP,w-1-oxo,0,0
644,iTUP,mCDP,w-COOH,0,0
645,DDdP,mDdP,mono,0,0
646,DDdP,mHDdP,w-1-OH,0,0
647,DDdP,mODdP,w-1-oxo,0,0
648,DDdP,120CMP,w-COOH,0,0
649,DDdP,mCPP,w-ab,0,0
650,DiTP,miTP,mono,0,0
651,DiTP,mHiTP,w-1-OH,0,0
652,DiTP,121CMP,w-COOH,0,0
653,DiTP,mCPP,w-ab,0,0
654,DTP,mTP,mono,0,0
655,DTP,mHTP,w-1-OH,0,0
656,DTP,mOTP,w-1-oxo,0,0
657,DTP,122CMP,w-COOH,0,0
658,DTP,mCPP,w-ab,2,0.179036529
659,DOcP,mOcP,mono,0,0
660,DOcP,mHOcP,w-1-OH,0,0
661,DOcP,mOOcP,w-1-oxo,0,0
662,DOcP,123CMP,w-COOH,0,0
663,DOcP,mCPP,w-ab,0,0
