,Up,Down,Name,Number,CooccurrenceProbability
149,BHP,mCPP,w-ab,0,0
150,DPP,mPP,mono,41,0.137300021
151,DPP,m4HPP,w-1-OH,6,0.045796753
152,DPP,m4OPP,w-1-oxo,0,0
153,DPP,mCBP,w-COOH,1,0.032724857
154,DPP,mCPP,w-ab,26,0.098084334
155,DHeP,mHexP,mono,0,0
156,B2MePP,m2MePP,mono,0,0
157,B2MePP,mH2MePP,w-1-OH,0,0
158,B2MePP,mO2MePP,w-1-oxo,0,0
159,B2MePP,49CMP,w-COOH,0,0
160,B2MePP,mCPP,w-ab,0,0
161,DiHP,miHP,mono,0,0
162,DiHP,miHHP,w-1-OH,0,0
163,DiHP,50CMP,w-COOH,0,0
164,B3MePP,m3MePP,mono,0,0
165,B3MePP,mH3MePP,w-1-OH,0,0
166,B3MePP,mO3MePP,w-1-oxo,0,0
167,B3MePP,51CMP,w-COOH,0,0
168,B3MePP,mCPP,w-ab,0,0
169,HEHP,mHP,mono,0,0
170,HEHP,mHHP,w-1-OH,0,0
171,HEHP,mOHP,w-1-oxo,0,0
172,HEHP,m5CPP,w-COOH,0,0
173,HEHP,mCPP,w-ab,0,0
174,HEHP,mEHP,mono,0,0
175,HEHP,mEHHP,w-1-OH,0,0
176,HEHP,mEOHP,w-1-oxo,0,0
177,HEHP,mECPP,w-COOH,0,0
178,HEHP,mCMHP,w-COOH-br,0,0
179,BuMHP,mBP,mono,0,0
180,BuMHP,m2HBP,mOH,0,0
181,BuMHP,mHBP,w-1-OH,0,0
182,BuMHP,mMHP,mono,0,0
183,BuMHP,mHMHP,w-1-OH,0,0
184,BuMHP,mOMHP,w-1-oxo,0,0
185,BuMHP,66CMP,w-COOH,0,0
186,BuMHP,mCPP,w-ab,0,0
187,BPhPP,mPhPP,mono,0,0
188,BOP,mBP,mono,0,0
189,BOP,m2HBP,mOH,0,0
190,BOP,mHBP,w-1-OH,0,0
191,BOP,mOP,mono,0,0
192,BOP,mHOP,w-1-OH,0,0
193,BOP,mOOP,w-1-oxo,0,0
194,BOP,mCHpP,w-COOH,0,0
195,BOP,mCPP,w-ab,0,0
196,DHP,mHP,mono,18,0.104485869
197,DHP,mHHP,w-1-OH,0,0
198,DHP,mOHP,w-1-oxo,0,0
199,DHP,m5CPP,w-COOH,0,0
200,DHP,mCPP,w-ab,15,0.0938664
201,DEMPP,mEMPP,mono,0,0
202,DEMPP,mHEMPP,w-1-OH,0,0
203,DEMPP,mOEMPP,w-1-oxo,0,0
204,DEMPP,57CMP,w-COOH,0,0
205,DEMPP,mCPP,w-ab,0,0
206,BeOP,mBzP,mono,0,0
207,BeOP,mOP,mono,0,0
