Index,Name,PAE,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TPR1,TPR2,TPR3,TPR4,TPR5,TPR6,TPR7,TPR8,TPR9
33,BEP_w-1,BEP,mBP,mHBP,,,,,,,,,33,82,,,,,,,
34,BEP_mOH,BEP,mBP,m2HBP,,,,,,,,,33,83,,,,,,,
35,BEP_w,BEP,mBP,mCPP,,,,,,,,,33,84,,,,,,,
36,DsBP_mOH,DsBP,msBP,msHBP,,,,,,,,,34,35,,,,,,,
37,DPrP_mono,DPrP,mPrP,,,,,,,,,,36,,,,,,,,
38,DiBP_w,DiBP,miBP,m3HIBP,,,,,,,,,37,85,,,,,,,
39,DiBP_w-1,DiBP,miBP,mHIBP,,,,,,,,,37,86,,,,,,,
40,DCPP_mono,DCPP,mCOPP,,,,,,,,,,38,,,,,,,,
41,BBEEP_mono,BBEEP,mBEEP,,,,,,,,,,39,,,,,,,,
42,MeEHP_mono,MeEHP,mMP,,,,,,,,,,40,,,,,,,,
43,MeEHP_w-1,MeEHP,mEHP,mEHHP,mEOHP,,,,,,,,41,42,43,,,,,,
44,MeEHP_w,MeEHP,mEHP,mECPP,mCMHP,mCPP,,,,,,,41,44,45,46,,,,,
45,DBEP_mono,DBEP,mBEP,,,,,,,,,,47,,,,,,,,
46,DPhP_mono,DPhP,mPhP,,,,,,,,,,48,,,,,,,,
47,HMP_mono,HMP,mMP,,,,,,,,,,49,,,,,,,,
48,HMP_w-1,HMP,mHP,mHHP,mOHP,,,,,,,,50,51,52,,,,,,
49,HMP_w,HMP,mHP,m5CPP,mCPP,,,,,,,,50,53,54,,,,,,
50,DBP_w-1,DBP,mBP,mHBP,,,,,,,,,55,87,,,,,,,
51,DBP_mOH,DBP,mBP,m2HBP,,,,,,,,,55,88,,,,,,,
52,DBP_w,DBP,mBP,mCPP,,,,,,,,,55,89,,,,,,,
53,CiBP_mono,CiBP,mCHP,,,,,,,,,,56,,,,,,,,
54,CiBP_w,CiBP,miBP,m3HIBP,,,,,,,,,57,90,,,,,,,
55,CiBP_w-1,CiBP,miBP,mHIBP,,,,,,,,,57,91,,,,,,,
56,BuEBP_mono,BuEBP,mBEP,,,,,,,,,,58,,,,,,,,
57,BuEBP_w-1,BuEBP,mBP,mHBP,,,,,,,,,59,92,,,,,,,
58,BuEBP_mOH,BuEBP,mBP,m2HBP,,,,,,,,,59,93,,,,,,,
59,BuEBP_w,BuEBP,mBP,mCPP,,,,,,,,,59,94,,,,,,,
60,BsBP_w-1,BsBP,mBP,mHBP,,,,,,,,,60,95,,,,,,,
61,BsBP_mOH,BsBP,mBP,m2HBP,,,,,,,,,60,96,,,,,,,
62,BsBP_w,BsBP,mBP,mCPP,,,,,,,,,60,97,,,,,,,
63,BsBP_mOH,BsBP,msBP,msHBP,,,,,,,,,61,62,,,,,,,
64,BiBP_w-1,BiBP,mBP,mHBP,,,,,,,,,63,98,,,,,,,
65,BiBP_mOH,BiBP,mBP,m2HBP,,,,,,,,,63,99,,,,,,,
66,BiBP_w,BiBP,mBP,mCPP,,,,,,,,,63,100,,,,,,,
67,BiBP_w,BiBP,miBP,m3HIBP,,,,,,,,,64,101,,,,,,,
68,BiBP_w-1,BiBP,miBP,mHIBP,,,,,,,,,64,102,,,,,,,
69,BBzP_mono,BBzP,mBzP,,,,,,,,,,65,,,,,,,,
70,BBzP_w-1,BBzP,mBP,mHBP,,,,,,,,,66,103,,,,,,,
71,BBzP_mOH,BBzP,mBP,m2HBP,,,,,,,,,66,104,,,,,,,
72,BBzP_w,BBzP,mBP,mCPP,,,,,,,,,66,105,,,,,,,
73,DCHP_mono,DCHP,mCHP,,,,,,,,,,67,,,,,,,,
74,DBzP_mono,DBzP,mBzP,,,,,,,,,,68,,,,,,,,
75,BCHP_w-1,BCHP,mBP,mHBP,,,,,,,,,69,106,,,,,,,
76,BCHP_mOH,BCHP,mBP,m2HBP,,,,,,,,,69,107,,,,,,,
77,BCHP_w,BCHP,mBP,mCPP,,,,,,,,,69,108,,,,,,,
78,BCHP_mono,BCHP,mCHP,,,,,,,,,,70,,,,,,,,
79,BEBP_w-1,BEBP,mEBP,mHEBP,mOEBP,,,,,,,,71,72,73,,,,,,
80,BEBP_w,BEBP,mEBP,mCEPP,mCPP,,,,,,,,71,74,75,,,,,,
81,BMPP_w-1,BMPP,mMPP,mHMPP,mOMPP,,,,,,,,76,77,78,,,,,,
82,BMPP_w,BMPP,mMPP,40CMP,mCPP,,,,,,,,76,109,110,,,,,,
83,MeOP_mono,MeOP,mMP,,,,,,,,,,111,,,,,,,,
84,MeOP_w-1,MeOP,mOP,mHOP,mOOP,,,,,,,,112,113,114,,,,,,
85,MeOP_w,MeOP,mOP,mCHpP,mCPP,,,,,,,,112,115,116,,,,,,
86,DiPP_w-1,DiPP,miPP,m3HPP,,,,,,,,,117,118,,,,,,,
87,DiPP_w,DiPP,miPP,m4HPeP,42CMP,mCPP,,,,,,,117,119,120,121,,,,,
88,BEHP_w-1,BEHP,mBP,mHBP,,,,,,,,,122,123,,,,,,,
89,BEHP_mOH,BEHP,mBP,m2HBP,,,,,,,,,122,124,,,,,,,
90,BEHP_w-1,BEHP,mEHP,mEHHP,mEOHP,,,,,,,,125,126,127,,,,,,
91,BEHP_w,BEHP,mEHP,mECPP,mCMHP,mCPP,,,,,,,125,128,129,130,,,,,
92,BMePP_w-1,BMePP,mMePP,mHMePP,mOMePP,,,,,,,,131,132,133,,,,,,
93,BMePP_w,BMePP,mMePP,44CMP,mCPP,,,,,,,,131,134,135,,,,,,
94,BEBuP_w-1,BEBuP,mEBuP,mHEBuP,mOEBuP,,,,,,,,136,137,138,,,,,,
95,BEBuP_w,BEBuP,mEBuP,45CMP,mCPP,,,,,,,,136,139,140,,,,,,
96,BHP_mOH,BHP,mBP,m2HBP,,,,,,,,,141,142,,,,,,,
